Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Veterinary Technologists and Technicians (29-2056),"3,390",8.6,$21.48 ,"$44,680 ",1.2,$17.60 ,$18.11 ,$21.69 ,$22.65 ,$27.35 ,"$36,610 ","$37,660 ","$45,110 ","$47,110 ","$56,890 ",1.06,1.25
Ophthalmic Medical Technicians (29-2057),"2,080",24.6,$20.94 ,"$43,540 ",2.3,$17.81 ,$18.19 ,$20.09 ,$22.54 ,$25.50 ,"$37,040 ","$37,820 ","$41,790 ","$46,880 ","$53,040 ",0.65,1.31
Licensed Practical and Licensed Vocational Nurses (29-2061),"5,200",7.6,$35.02 ,"$72,840 ",1.8,$28.04 ,$30.60 ,$35.59 ,$38.29 ,$39.70 ,"$58,330 ","$63,640 ","$74,020 ","$79,650 ","$82,580 ",1.628,0.4
Medical Records Specialists (29-2072),"3,370",7.2,$25.09 ,"$52,200 ",0.9,$18.01 ,$19.55 ,$23.94 ,$28.89 ,$33.12 ,"$37,460 ","$40,670 ","$49,790 ","$60,090 ","$68,890 ",1.053,0.86
"Opticians, Dispensing (29-2081)","1,670",9.4,$24.01 ,"$49,940 ",1.9,$17.58 ,$18.75 ,$22.37 ,$27.86 ,$34.90 ,"$36,570 ","$38,990 ","$46,520 ","$57,950 ","$72,590 ",0.521,1.01
Orthotists and Prosthetists (29-2091),120,43.8,$35.39 ,"$73,610 ",6.1,$22.66 ,$28.51 ,$31.15 ,$45.12 ,$50.76 ,"$47,140 ","$59,300 ","$64,790 ","$93,850 ","$105,580 ",0.039,0.61
Hearing Aid Specialists (29-2092),170,24.5,$33.81 ,"$70,320 ",1.3,$29.62 ,$30.52 ,$34.36 ,$37.46 ,$38.35 ,"$61,610 ","$63,490 ","$71,470 ","$77,920 ","$79,770 ",0.053,0.78
"Health Technologists and Technicians, All Other (29-2099)","2,670",9.5,$36.82 ,"$76,580 ",16,$18.34 ,$21.25 ,$26.54 ,$39.86 ,$50.52 ,"$38,160 ","$44,190 ","$55,200 ","$82,900 ","$105,080 ",0.834,0.74
Health Information Technologists and Medical Registrars (29-9021),680,7.6,$26.67 ,"$55,470 ",1.4,$19.00 ,$20.11 ,$23.59 ,$30.32 ,$36.79 ,"$39,530 ","$41,830 ","$49,070 ","$63,060 ","$76,530 ",0.213,0.87
Athletic Trainers (29-9091),790,20.2,(4) -,"$62,090 ",3.2,(4) -,(4) -,(4) -,(4) -,(4) -,"$47,130 ","$51,260 ","$58,270 ","$68,320 ","$79,130 ",0.248,1.32
Genetic Counselors (29-9092),40,1.2,$45.87 ,"$95,410 ",0.7,$37.67 ,$42.11 ,$47.73 ,$50.77 ,$51.69 ,"$78,350 ","$87,590 ","$99,270 ","$105,590 ","$107,520 ",0.012,0.55
Surgical Assistants (29-9093),(8) -,(8) -,$44.37 ,"$92,280 ",19.1,$21.01 ,$29.58 ,$51.68 ,$55.58 ,$55.58 ,"$43,700 ","$61,530 ","$107,500 ","$115,610 ","$115,610 ",(8) -,(8) -
"Healthcare Practitioners and Technical Workers, All Other (29-9099)",560,30.2,$36.25 ,"$75,400 ",5.5,$20.92 ,$26.75 ,$31.65 ,$41.49 ,$55.29 ,"$43,520 ","$55,640 ","$65,830 ","$86,300 ","$115,010 ",0.177,0.74
Healthcare Support Occupations (31-0000),"138,120",1.5,$19.77 ,"$41,120 ",0.5,$14.91 ,$16.88 ,$18.12 ,$21.76 ,$24.68 ,"$31,010 ","$35,110 ","$37,680 ","$45,260 ","$51,330 ",43.206,0.89
Home Health and Personal Care Aides (31-1120),"69,100",2.4,$17.13 ,"$35,630 ",0.4,$14.48 ,$15.41 ,$17.37 ,$18.03 ,$19.04 ,"$30,120 ","$32,060 ","$36,120 ","$37,500 ","$39,610 ",21.616,0.84
Nursing Assistants (31-1131),"17,350",3.1,$20.70 ,"$43,060 ",0.9,$17.53 ,$18.11 ,$20.19 ,$21.78 ,$23.99 ,"$36,460 ","$37,680 ","$41,980 ","$45,300 ","$49,890 ",5.428,0.6
Orderlies (31-1132),940,0.5,$18.18 ,"$37,810 ",0.4,$16.73 ,$17.19 ,$17.75 ,$18.97 ,$20.82 ,"$34,800 ","$35,760 ","$36,910 ","$39,460 ","$43,310 ",0.294,0.86
Occupational Therapy Assistants (31-2011),930,18.5,$35.27 ,"$73,360 ",3.3,$24.91 ,$31.62 ,$36.07 ,$37.01 ,$44.17 ,"$51,800 ","$65,760 ","$75,020 ","$76,980 ","$91,870 ",0.291,0.94
Physical Therapist Assistants (31-2021),"1,680",14.3,$31.51 ,"$65,540 ",4.1,$15.20 ,$28.79 ,$31.79 ,$37.32 ,$38.51 ,"$31,610 ","$59,880 ","$66,110 ","$77,620 ","$80,100 ",0.525,0.75
Physical Therapist Aides (31-2022),"1,840",16.1,$17.23 ,"$35,830 ",1.8,$14.70 ,$15.15 ,$16.78 ,$17.97 ,$20.05 ,"$30,570 ","$31,500 ","$34,910 ","$37,370 ","$41,710 ",0.576,2.02
Massage Therapists (31-9011),"2,840",18.6,$32.72 ,"$68,050 ",4.3,$18.10 ,$23.91 ,$28.63 ,$39.16 ,$43.58 ,"$37,650 ","$49,740 ","$59,550 ","$81,450 ","$90,640 ",0.887,1.42
Dental Assistants (31-9091),"7,480",7.7,$24.06 ,"$50,040 ",2.1,$18.76 ,$21.53 ,$23.56 ,$27.77 ,$29.08 ,"$39,010 ","$44,790 ","$49,000 ","$57,760 ","$60,480 ",2.339,0.96
Medical Assistants (31-9092),"23,300",4.3,$21.64 ,"$45,010 ",0.5,$18.19 ,$19.11 ,$21.84 ,$23.14 ,$24.32 ,"$37,840 ","$39,740 ","$45,440 ","$48,140 ","$50,580 ",7.289,1.42
Medical Equipment Preparers (31-9093),"2,180",10.6,$21.89 ,"$45,530 ",2.9,$16.45 ,$17.87 ,$22.15 ,$24.47 ,$28.06 ,"$34,210 ","$37,170 ","$46,060 ","$50,890 ","$58,370 ",0.682,1.45
Medical Transcriptionists (31-9094),920,11.6,$18.95 ,"$39,420 ",3.1,$14.74 ,$15.37 ,$17.48 ,$21.67 ,$24.95 ,"$30,660 ","$31,960 ","$36,360 ","$45,070 ","$51,890 ",0.287,1.03
Pharmacy Aides (31-9095),280,22.8,$20.63 ,"$42,910 ",3.2,$16.47 ,$17.06 ,$18.66 ,$23.72 ,$28.20 ,"$34,250 ","$35,480 ","$38,800 ","$49,340 ","$58,660 ",0.086,0.32
Veterinary Assistants and Laboratory Animal Caretakers (31-9096),"2,210",10.1,$18.97 ,"$39,460 ",2.1,$16.16 ,$16.83 ,$18.39 ,$20.77 ,$23.67 ,"$33,620 ","$35,000 ","$38,240 ","$43,190 ","$49,230 ",0.69,0.93
Phlebotomists (31-9097),"3,660",11.3,$22.08 ,"$45,930 ",0.5,$18.02 ,$19.99 ,$20.59 ,$24.03 ,$27.67 ,"$37,480 ","$41,570 ","$42,830 ","$49,980 ","$57,540 ",1.146,1.27
"Healthcare Support Workers, All Other (31-9099)","3,390",9.6,$24.27 ,"$50,480 ",2.8,$17.43 ,$19.56 ,$22.37 ,$28.00 ,$30.64 ,"$36,260 ","$40,680 ","$46,530 ","$58,230 ","$63,730 ",1.061,1.58
Protective Service Occupations (33-0000),"84,800",1,$28.69 ,"$59,680 ",0.5,$16.73 ,$18.54 ,$24.49 ,$35.65 ,$46.86 ,"$34,790 ","$38,560 ","$50,940 ","$74,150 ","$97,470 ",26.528,1.12
First-Line Supervisors of Correctional Officers (33-1011),980,1.1,$37.24 ,"$77,460 ",0.3,$32.14 ,$32.96 ,$36.25 ,$39.04 ,$47.30 ,"$66,860 ","$68,550 ","$75,400 ","$81,190 ","$98,390 ",0.305,0.88
First-Line Supervisors of Police and Detectives (33-1012),"2,600",1.2,$54.70 ,"$113,780 ",0.3,$38.68 ,$46.33 ,$51.32 ,$59.82 ,$76.54 ,"$80,450 ","$96,370 ","$106,750 ","$124,430 ","$159,190 ",0.813,0.82
First-Line Supervisors of Firefighting and Prevention Workers (33-1021),"2,310",4,$42.88 ,"$89,180 ",0.9,$29.94 ,$34.82 ,$40.79 ,$49.17 ,$57.64 ,"$62,270 ","$72,430 ","$84,840 ","$102,260 ","$119,890 ",0.722,1.19
First-Line Supervisors of Security Workers (33-1091),"1,500",5.2,$29.18 ,"$60,690 ",1.9,$19.11 ,$21.63 ,$27.49 ,$34.05 ,$42.00 ,"$39,760 ","$44,980 ","$57,170 ","$70,810 ","$87,360 ",0.471,1.03
"First-Line Supervisors of Protective Service Workers, All Other (33-1099)",400,1.6,$33.57 ,"$69,820 ",1.2,$18.94 ,$26.22 ,$34.90 ,$40.07 ,$45.34 ,"$39,400 ","$54,540 ","$72,600 ","$83,350 ","$94,310 ",0.125,0.94
Firefighters (33-2011),"6,870",4.4,$29.17 ,"$60,660 ",3.9,$17.62 ,$21.71 ,$28.20 ,$34.60 ,$38.36 ,"$36,650 ","$45,160 ","$58,650 ","$71,970 ","$79,780 ",2.15,1
Fire Inspectors and Investigators (33-2021),210,2.9,$35.62 ,"$74,090 ",0.8,$27.84 ,$29.55 ,$36.01 ,$40.05 ,$45.69 ,"$57,910 ","$61,450 ","$74,900 ","$83,300 ","$95,030 ",0.067,0.73
Bailiffs (33-3011),280,2,$24.02 ,"$49,950 ",0.3,$18.95 ,$21.22 ,$22.32 ,$23.09 ,$28.61 ,"$39,410 ","$44,130 ","$46,430 ","$48,030 ","$59,520 ",0.088,0.8
Correctional Officers and Jailers (33-3012),"13,840",0.9,$26.52 ,"$55,160 ",0.2,$21.93 ,$23.37 ,$26.43 ,$29.64 ,$31.66 ,"$45,620 ","$48,600 ","$54,970 ","$61,650 ","$65,850 ",4.33,1.83
Detectives and Criminal Investigators (33-3021),"5,220",0.2,$47.44 ,"$98,670 ",0.1,$29.48 ,$36.55 ,$49.65 ,$52.48 ,$67.48 ,"$61,310 ","$76,030 ","$103,270 ","$109,160 ","$140,360 ",1.633,2.27
Fish and Game Wardens (33-3031),250,0.2,$23.43 ,"$48,730 ",0,$17.51 ,$18.67 ,$21.64 ,$28.16 ,$30.54 ,"$36,410 ","$38,840 ","$45,000 ","$58,570 ","$63,520 ",0.078,1.88
Parking Enforcement Workers (33-3041),30,2.3,$20.13 ,"$41,870 ",0.4,$17.15 ,$18.08 ,$19.48 ,$21.26 ,$23.67 ,"$35,680 ","$37,610 ","$40,510 ","$44,220 ","$49,230 ",0.01,0.21
Police and Sheriff's Patrol Officers (33-3051),"12,430",1,$39.62 ,"$82,400 ",0.3,$28.73 ,$33.01 ,$38.16 ,$46.73 ,$48.29 ,"$59,760 ","$68,650 ","$79,370 ","$97,200 ","$100,430 ",3.888,0.9
Animal Control Workers (33-9011),190,4.6,$22.31 ,"$46,410 ",0.5,$17.09 ,$19.67 ,$22.72 ,$23.63 ,$27.76 ,"$35,550 ","$40,920 ","$47,260 ","$49,150 ","$57,730 ",0.058,0.76
Private Detectives and Investigators (33-9021),980,11.3,$33.77 ,"$70,250 ",5.8,$18.55 ,$21.41 ,$31.23 ,$43.82 ,$53.29 ,"$38,580 ","$44,540 ","$64,960 ","$91,150 ","$110,850 ",0.306,1.22
Gaming Surveillance Officers and Gambling Investigators (33-9031),370,8.3,$23.69 ,"$49,270 ",1.5,$17.22 ,$20.96 ,$23.81 ,$24.33 ,$26.74 ,"$35,820 ","$43,590 ","$49,520 ","$50,610 ","$55,620 ",0.115,1.77
Security Guards (33-9032),"26,720",2.2,$19.84 ,"$41,260 ",0.9,$15.62 ,$17.08 ,$18.54 ,$21.20 ,$23.99 ,"$32,480 ","$35,530 ","$38,560 ","$44,100 ","$49,900 ",8.359,1.04
Crossing Guards and Flaggers (33-9091),"1,730",11.4,$17.14 ,"$35,650 ",1.5,$14.43 ,$15.35 ,$16.35 ,$19.66 ,$21.40 ,"$30,020 ","$31,930 ","$34,020 ","$40,900 ","$44,510 ",0.542,0.93
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers (33-9092)","3,380",10.4,$16.88 ,"$35,110 ",0.5,$14.75 ,$15.29 ,$17.00 ,$17.45 ,$18.56 ,"$30,680 ","$31,810 ","$35,360 ","$36,290 ","$38,600 ",1.057,1.13
Transportation Security Screeners (33-9093),"1,460",16.8,$27.40 ,"$56,980 ",5.1,$18.91 ,$23.61 ,$29.34 ,$32.12 ,$33.12 ,"$39,340 ","$49,110 ","$61,030 ","$66,810 ","$68,890 ",0.455,1.52
School Bus Monitors (33-9094),"1,520",6.8,$16.70 ,"$34,740 ",0.3,$14.52 ,$15.05 ,$16.44 ,$17.57 ,$19.95 ,"$30,210 ","$31,300 ","$34,190 ","$36,540 ","$41,500 ",0.477,1.02
"Protective Service Workers, All Other (33-9099)","1,430",1.2,$26.93 ,"$56,010 ",0.4,$22.14 ,$22.37 ,$23.84 ,$29.32 ,$36.29 ,"$46,050 ","$46,520 ","$49,590 ","$60,980 ","$75,470 ",0.448,0.83
Food Preparation and Serving Related Occupations (35-0000),"290,590",1.1,$19.35 ,"$40,250 ",1,$14.54 ,$15.19 ,$16.99 ,$20.60 ,$28.33 ,"$30,240 ","$31,580 ","$35,330 ","$42,850 ","$58,920 ",90.902,1.03
Chefs and Head Cooks (35-1011),"3,260",17.8,$31.70 ,"$65,930 ",4.1,$18.34 ,$22.55 ,$29.79 ,$37.75 ,$46.37 ,"$38,150 ","$46,900 ","$61,950 ","$78,510 ","$96,440 ",1.019,0.86
First-Line Supervisors of Food Preparation and Serving Workers (35-1012),"23,520",5.9,$22.22 ,"$46,210 ",1.8,$16.53 ,$17.24 ,$20.57 ,$26.87 ,$29.89 ,"$34,380 ","$35,860 ","$42,790 ","$55,900 ","$62,180 ",7.358,0.96
"Cooks, Fast Food (35-2011)","11,220",27.2,$15.55 ,"$32,340 ",1.3,$14.35 ,$14.66 ,$14.95 ,$16.76 ,$17.30 ,"$29,850 ","$30,490 ","$31,090 ","$34,860 ","$35,970 ",3.51,0.81
"Cooks, Institution and Cafeteria (35-2012)","6,840",4,$19.66 ,"$40,890 ",0.7,$16.42 ,$17.74 ,$18.97 ,$21.55 ,$23.21 ,"$34,150 ","$36,900 ","$39,470 ","$44,820 ","$48,280 ",2.139,0.74
"Cooks, Restaurant (35-2014)","34,740",6.1,$19.07 ,"$39,660 ",1.3,$16.34 ,$17.18 ,$18.24 ,$21.32 ,$22.50 ,"$33,980 ","$35,730 ","$37,940 ","$44,340 ","$46,790 ",10.868,1.15
"Cooks, Short Order (35-2015)",(8) -,(8) -,$20.64 ,"$42,920 ",8.1,$15.13 ,$17.77 ,$22.23 ,$23.41 ,$23.41 ,"$31,470 ","$36,950 ","$46,240 ","$48,700 ","$48,700 ",(8) -,(8) -
"Cooks, All Other (35-2019)",490,11,$18.61 ,"$38,710 ",2.3,$15.46 ,$16.03 ,$17.44 ,$20.26 ,$23.88 ,"$32,150 ","$33,340 ","$36,280 ","$42,140 ","$49,680 ",0.152,1
Food Preparation Workers (35-2021),"15,500",11.6,$17.57 ,"$36,550 ",1.1,$14.76 ,$16.24 ,$17.06 ,$18.07 ,$20.60 ,"$30,710 ","$33,780 ","$35,480 ","$37,580 ","$42,850 ",4.847,0.84
Bartenders (35-3011),"13,360",7.5,$25.24 ,"$52,500 ",3.8,$14.35 ,$15.15 ,$19.64 ,$32.55 ,$41.50 ,"$29,850 ","$31,510 ","$40,860 ","$67,710 ","$86,320 ",4.178,0.86
Fast Food and Counter Workers (35-3023),"86,640",5.8,$16.32 ,"$33,950 ",1,$14.55 ,$14.81 ,$15.89 ,$16.82 ,$18.25 ,"$30,270 ","$30,800 ","$33,060 ","$34,980 ","$37,960 ",27.103,1.11
Waiters and Waitresses (35-3031),"55,010",4.7,$22.91 ,"$47,660 ",2.7,$14.35 ,$14.90 ,$17.66 ,$29.08 ,$37.40 ,"$29,850 ","$30,990 ","$36,730 ","$60,480 ","$77,790 ",17.208,1.15
"Food Servers, Nonrestaurant (35-3041)","3,840",6.8,$18.13 ,"$37,710 ",1.2,$15.00 ,$15.85 ,$16.90 ,$18.15 ,$21.72 ,"$31,190 ","$32,960 ","$35,150 ","$37,760 ","$45,180 ",1.201,0.68
Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011),"11,520",8.3,$18.98 ,"$39,480 ",2.2,$14.58 ,$15.18 ,$17.24 ,$19.05 ,$25.46 ,"$30,330 ","$31,570 ","$35,870 ","$39,630 ","$52,960 ",3.603,1.06
Dishwashers (35-9021),"10,220",6.8,$16.90 ,"$35,160 ",1.4,$14.57 ,$15.26 ,$16.76 ,$18.04 ,$18.46 ,"$30,300 ","$31,730 ","$34,850 ","$37,520 ","$38,390 ",3.197,1.05
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop (35-9031)","10,860",8.4,$18.37 ,"$38,210 ",4.5,$14.35 ,$14.60 ,$16.40 ,$18.36 ,$24.04 ,"$29,850 ","$30,360 ","$34,110 ","$38,180 ","$50,010 ",3.396,1.23
"Food Preparation and Serving Related Workers, All Other (35-9099)","1,040",21.5,$18.76 ,"$39,020 ",2,$16.02 ,$16.55 ,$17.81 ,$18.76 ,$22.73 ,"$33,330 ","$34,420 ","$37,040 ","$39,010 ","$47,280 ",0.326,0.56
Building and Grounds Cleaning and Maintenance Occupations (37-0000),"91,730",1.4,$18.68 ,"$38,850 ",0.5,$15.15 ,$16.57 ,$17.69 ,$19.37 ,$22.45 ,"$31,520 ","$34,470 ","$36,800 ","$40,300 ","$46,700 ",28.696,0.98
First-Line Supervisors of Housekeeping and Janitorial Workers (37-1011),"3,340",10.1,$24.83 ,"$51,640 ",2.9,$18.17 ,$19.00 ,$22.73 ,$28.34 ,$35.48 ,"$37,800 ","$39,520 ","$47,280 ","$58,960 ","$73,800 ",1.045,0.92
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers (37-1012)","2,640",13.1,$26.44 ,"$54,980 ",2.2,$19.63 ,$22.59 ,$23.64 ,$29.43 ,$35.85 ,"$40,830 ","$46,980 ","$49,170 ","$61,220 ","$74,570 ",0.825,1.02
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners (37-2011)","37,100",3.8,$17.83 ,"$37,090 ",0.7,$14.99 ,$16.18 ,$17.37 ,$18.50 ,$21.05 ,"$31,180 ","$33,650 ","$36,140 ","$38,480 ","$43,770 ",11.604,0.81
Maids and Housekeeping Cleaners (37-2012),"23,560",5.6,$17.22 ,"$35,820 ",0.7,$14.84 ,$16.07 ,$17.02 ,$17.79 ,$19.47 ,"$30,860 ","$33,420 ","$35,400 ","$36,990 ","$40,510 ",7.37,1.33
Pest Control Workers (37-2021),"3,370",4.6,$21.69 ,"$45,110 ",1.9,$17.19 ,$17.71 ,$18.73 ,$22.52 ,$28.53 ,"$35,750 ","$36,830 ","$38,960 ","$46,840 ","$59,340 ",1.054,1.69
Landscaping and Groundskeeping Workers (37-3011),"20,990",3.9,$19.15 ,"$39,830 ",0.7,$16.39 ,$17.62 ,$18.23 ,$20.87 ,$22.07 ,"$34,090 ","$36,650 ","$37,920 ","$43,420 ","$45,900 ",6.567,1.07
"Pesticide Handlers, Sprayers, and Applicators, Vegetation (37-3012)",180,17.6,$22.74 ,"$47,300 ",1.7,$19.38 ,$21.60 ,$22.06 ,$23.79 ,$27.69 ,"$40,310 ","$44,930 ","$45,880 ","$49,480 ","$57,600 ",0.056,0.34
Tree Trimmers and Pruners (37-3013),500,41,$25.69 ,"$53,440 ",7.6,$18.48 ,$21.11 ,$22.43 ,$28.06 ,$38.87 ,"$38,440 ","$43,900 ","$46,650 ","$58,360 ","$80,850 ",0.156,0.5
"Grounds Maintenance Workers, All Other (37-3019)",50,5.1,$30.96 ,"$64,400 ",0.6,$23.19 ,$23.19 ,$31.03 ,$38.03 ,$38.03 ,"$48,230 ","$48,230 ","$64,540 ","$79,100 ","$79,100 ",0.015,0.17
Personal Care and Service Occupations (39-0000),"64,970",2.4,$20.26 ,"$42,140 ",2.5,$14.40 ,$15.00 ,$17.15 ,$22.00 ,$27.69 ,"$29,960 ","$31,200 ","$35,660 ","$45,760 ","$57,590 ",20.324,0.99
First-Line Supervisors of Gambling Services Workers (39-1013),580,0.3,$32.84 ,"$68,300 ",0.5,$21.72 ,$29.01 ,$31.53 ,$37.72 ,$40.71 ,"$45,180 ","$60,350 ","$65,580 ","$78,450 ","$84,680 ",0.181,1.1
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services (39-1014)","2,110",8.6,$24.26 ,"$50,450 ",1.5,$17.96 ,$19.31 ,$22.17 ,$26.70 ,$32.32 ,"$37,350 ","$40,160 ","$46,120 ","$55,540 ","$67,220 ",0.66,1.1
First-Line Supervisors of Personal Service Workers (39-1022),"1,690",16.5,$23.36 ,"$48,590 ",2.3,$17.25 ,$19.75 ,$22.49 ,$27.62 ,$29.44 ,"$35,870 ","$41,080 ","$46,770 ","$57,440 ","$61,230 ",0.529,0.76
Animal Trainers (39-2011),710,38.7,$17.87 ,"$37,170 ",11.3,$14.62 ,$14.62 ,$15.49 ,$20.28 ,$26.00 ,"$30,400 ","$30,400 ","$32,230 ","$42,190 ","$54,070 ",0.222,1.7
Animal Caretakers (39-2021),"5,450",8.2,$17.67 ,"$36,760 ",1.3,$14.84 ,$15.50 ,$16.91 ,$17.69 ,$21.67 ,"$30,860 ","$32,230 ","$35,170 ","$36,790 ","$45,070 ",1.704,0.95
Gambling Dealers (39-3011),"1,870",0.2,$31.30 ,"$65,110 ",0.6,$14.35 ,$24.91 ,$27.69 ,$41.66 ,$41.79 ,"$29,850 ","$51,820 ","$57,590 ","$86,650 ","$86,930 ",0.584,1.09
"Gambling Service Workers, All Other (39-3019)",110,0.4,$19.63 ,"$40,820 ",0.6,$15.04 ,$16.47 ,$18.27 ,$20.48 ,$27.94 ,"$31,290 ","$34,260 ","$37,990 ","$42,590 ","$58,120 ",0.034,0.35
"Ushers, Lobby Attendants, and Ticket Takers (39-3031)","3,690",9.6,$16.11 ,"$33,500 ",2.4,$14.35 ,$14.69 ,$14.95 ,$16.96 ,$17.50 ,"$29,850 ","$30,550 ","$31,090 ","$35,290 ","$36,410 ",1.154,1.49
Amusement and Recreation Attendants (39-3091),"6,250",7.8,$16.69 ,"$34,710 ",1,$14.35 ,$14.48 ,$14.94 ,$17.23 ,$20.79 ,"$29,850 ","$30,120 ","$31,070 ","$35,840 ","$43,240 ",1.955,0.81
Costume Attendants (39-3092),90,23.8,$20.80 ,"$43,270 ",6.6,$16.68 ,$17.21 ,$18.11 ,$24.02 ,$29.13 ,"$34,690 ","$35,790 ","$37,660 ","$49,970 ","$60,590 ",0.029,0.71
"Locker Room, Coatroom, and Dressing Room Attendants (39-3093)",430,6.3,$18.35 ,"$38,160 ",0.8,$14.81 ,$15.42 ,$17.89 ,$20.41 ,$22.62 ,"$30,810 ","$32,070 ","$37,210 ","$42,450 ","$47,050 ",0.133,1.37
Crematory Operators (39-4012),70,10.4,$22.63 ,"$47,070 ",2,$17.13 ,$18.72 ,$18.88 ,$29.41 ,$31.64 ,"$35,630 ","$38,930 ","$39,270 ","$61,180 ","$65,800 ",0.021,1.08
Funeral Attendants (39-4021),270,23.3,$16.27 ,"$33,840 ",0.9,$15.04 ,$15.76 ,$16.38 ,$16.50 ,$16.95 ,"$31,280 ","$32,780 ","$34,060 ","$34,320 ","$35,260 ",0.083,0.42
"Morticians, Undertakers, and Funeral Arrangers (39-4031)",420,4.8,$21.31 ,"$44,320 ",3.2,$14.65 ,$17.25 ,$18.26 ,$22.64 ,$35.08 ,"$30,460 ","$35,880 ","$37,970 ","$47,080 ","$72,970 ",0.131,0.79
Barbers (39-5011),(8) -,(8) -,$16.10 ,"$33,500 ",8.2,$14.68 ,$15.63 ,$15.79 ,$15.79 ,$17.12 ,"$30,530 ","$32,510 ","$32,840 ","$32,840 ","$35,610 ",(8) -,(8) -
"Hairdressers, Hairstylists, and Cosmetologists (39-5012)","7,760",9.4,$19.30 ,"$40,140 ",3.1,$14.35 ,$14.65 ,$16.93 ,$21.77 ,$27.00 ,"$29,850 ","$30,460 ","$35,220 ","$45,280 ","$56,150 ",2.429,1.27
Manicurists and Pedicurists (39-5092),"2,710",16.4,$18.22 ,"$37,900 ",3.3,$14.54 ,$15.29 ,$16.74 ,$18.38 ,$23.04 ,"$30,240 ","$31,800 ","$34,820 ","$38,240 ","$47,920 ",0.848,0.89
Skincare Specialists (39-5094),"1,630",20.3,$23.43 ,"$48,740 ",2.7,$16.67 ,$19.86 ,$22.38 ,$23.69 ,$32.90 ,"$34,670 ","$41,300 ","$46,550 ","$49,280 ","$68,430 ",0.51,1.12
Baggage Porters and Bellhops (39-6011),450,8.3,$17.80 ,"$37,030 ",1.3,$14.35 ,$14.72 ,$16.93 ,$19.65 ,$22.76 ,"$29,850 ","$30,630 ","$35,200 ","$40,880 ","$47,350 ",0.141,0.69
Concierges (39-6012),450,10.8,$18.65 ,"$38,800 ",1.3,$15.21 ,$17.05 ,$17.81 ,$18.42 ,$20.87 ,"$31,640 ","$35,450 ","$37,040 ","$38,310 ","$43,410 ",0.142,0.5
Tour and Travel Guides (39-7010),"2,090",16,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,0.654,2.06
Childcare Workers (39-9011),"6,190",8,$17.94 ,"$37,310 ",1.1,$14.35 ,$15.06 ,$16.89 ,$21.99 ,$22.08 ,"$29,850 ","$31,320 ","$35,140 ","$45,740 ","$45,930 ",1.938,0.57
Exercise Trainers and Group Fitness Instructors (39-9031),"5,810",9.8,$23.24 ,"$48,340 ",3.4,$14.70 ,$16.12 ,$22.87 ,$27.22 ,$31.33 ,"$30,570 ","$33,520 ","$47,570 ","$56,610 ","$65,160 ",1.817,0.92
Recreation Workers (39-9032),"11,820",6,$18.47 ,"$38,410 ",0.8,$14.46 ,$14.96 ,$16.99 ,$18.60 ,$25.81 ,"$30,070 ","$31,120 ","$35,340 ","$38,690 ","$53,680 ",3.698,1.84
Residential Advisors (39-9041),"1,580",15.8,$19.05 ,"$39,630 ",3.2,$14.95 ,$16.12 ,$17.40 ,$21.49 ,$26.35 ,"$31,100 ","$33,520 ","$36,180 ","$44,690 ","$54,800 ",0.493,0.92
"Personal Care and Service Workers, All Other (39-9099)",(8) -,(8) -,$18.73 ,"$38,950 ",3.1,$15.00 ,$16.48 ,$19.04 ,$19.06 ,$21.51 ,"$31,190 ","$34,270 ","$39,600 ","$39,640 ","$44,740 ",(8) -,(8) -
Sales and Related Occupations (41-0000),"294,630",1.6,$25.46 ,"$52,960 ",1.5,$14.57 ,$15.95 ,$18.04 ,$27.90 ,$44.38 ,"$30,310 ","$33,180 ","$37,520 ","$58,040 ","$92,310 ",92.166,1.06
First-Line Supervisors of Retail Sales Workers (41-1011),"20,770",3.1,$23.81 ,"$49,510 ",1.2,$17.29 ,$18.60 ,$22.33 ,$27.29 ,$31.56 ,"$35,970 ","$38,680 ","$46,450 ","$56,750 ","$65,650 ",6.497,0.9
First-Line Supervisors of Non-Retail Sales Workers (41-1012),"2,860",8.9,$43.30 ,"$90,060 ",4,$21.76 ,$27.64 ,$37.55 ,$53.84 ,$75.50 ,"$45,260 ","$57,500 ","$78,110 ","$111,990 ","$157,040 ",0.894,0.63
Cashiers (41-2011),"70,780",4,$16.28 ,"$33,860 ",0.6,$14.37 ,$14.67 ,$15.86 ,$17.13 ,$17.89 ,"$29,900 ","$30,510 ","$32,990 ","$35,620 ","$37,220 ",22.14,1.08
