Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
First-Line Supervisors of Security Workers (33-1091),650,9.2,$29.75 ,"$61,890 ",2.8,$18.25 ,$20.43 ,$27.85 ,$35.55 ,$46.10 ,"$37,960 ","$42,490 ","$57,930 ","$73,940 ","$95,890 ",0.759,1.66
"First-Line Supervisors of Protective Service Workers, All Other (33-1099)",250,6.8,$34.33 ,"$71,410 ",4.1,$13.74 ,$21.98 ,$37.49 ,$43.17 ,$53.96 ,"$28,570 ","$45,710 ","$77,980 ","$89,800 ","$112,240 ",0.289,2.18
Firefighters (33-2011),"2,200",3.4,$21.21 ,"$44,110 ",0.5,$15.00 ,$17.61 ,$20.64 ,$22.85 ,$28.65 ,"$31,200 ","$36,620 ","$42,920 ","$47,520 ","$59,580 ",2.559,1.19
Fire Inspectors and Investigators (33-2021),80,10.6,$31.79 ,"$66,130 ",2.5,$23.43 ,$25.97 ,$31.41 ,$36.74 ,$39.79 ,"$48,740 ","$54,020 ","$65,330 ","$76,410 ","$82,770 ",0.093,1.02
Correctional Officers and Jailers (33-3012),"2,960",8.6,$23.22 ,"$48,300 ",0.8,$17.73 ,$20.78 ,$22.80 ,$23.85 ,$28.91 ,"$36,880 ","$43,210 ","$47,420 ","$49,610 ","$60,120 ",3.439,1.45
Detectives and Criminal Investigators (33-3021),"2,000",0.9,$40.15 ,"$83,500 ",0.3,$23.10 ,$27.75 ,$41.75 ,$51.56 ,$51.56 ,"$48,040 ","$57,710 ","$86,840 ","$107,240 ","$107,240 ",2.32,3.23
Police and Sheriff's Patrol Officers (33-3051),"4,830",2.5,$31.26 ,"$65,020 ",0.9,$22.82 ,$27.96 ,$30.45 ,$35.70 ,$37.46 ,"$47,470 ","$58,150 ","$63,340 ","$74,250 ","$77,910 ",5.615,1.3
Animal Control Workers (33-9011),270,6.2,$18.54 ,"$38,550 ",1.2,$15.11 ,$16.29 ,$17.35 ,$21.04 ,$22.24 ,"$31,420 ","$33,890 ","$36,090 ","$43,760 ","$46,250 ",0.31,4.05
Private Detectives and Investigators (33-9021),190,5.9,$24.90 ,"$51,790 ",2.1,$17.32 ,$18.97 ,$21.57 ,$31.27 ,$32.33 ,"$36,020 ","$39,460 ","$44,870 ","$65,040 ","$67,250 ",0.226,0.9
Gaming Surveillance Officers and Gambling Investigators (33-9031),90,11.2,$19.37 ,"$40,290 ",2.3,$14.93 ,$16.07 ,$17.74 ,$22.19 ,$27.48 ,"$31,050 ","$33,430 ","$36,910 ","$46,160 ","$57,160 ",0.108,1.67
Security Guards (33-9032),"8,240",2.5,$21.79 ,"$45,330 ",3.9,$14.55 ,$16.08 ,$18.58 ,$23.76 ,$31.96 ,"$30,270 ","$33,450 ","$38,650 ","$49,420 ","$66,480 ",9.571,1.19
Crossing Guards and Flaggers (33-9091),470,8.3,$15.43 ,"$32,090 ",1.3,$14.24 ,$14.96 ,$14.96 ,$14.98 ,$16.87 ,"$29,620 ","$31,110 ","$31,110 ","$31,150 ","$35,080 ",0.549,0.94
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers (33-9092)",700,12.1,$14.55 ,"$30,260 ",0.8,$13.00 ,$13.70 ,$13.74 ,$15.43 ,$16.56 ,"$27,040 ","$28,500 ","$28,570 ","$32,100 ","$34,450 ",0.808,0.87
Transportation Security Screeners (33-9093),190,0.1,$26.95 ,"$56,050 ",0,$20.07 ,$21.53 ,$29.13 ,$31.07 ,$32.04 ,"$41,750 ","$44,780 ","$60,590 ","$64,630 ","$66,640 ",0.217,0.72
School Bus Monitors (33-9094),250,20.1,$18.04 ,"$37,520 ",6.5,$13.18 ,$14.57 ,$16.69 ,$20.13 ,$30.58 ,"$27,410 ","$30,310 ","$34,720 ","$41,860 ","$63,610 ",0.287,0.61
"Protective Service Workers, All Other (33-9099)",670,3.1,$36.18 ,"$75,260 ",1.2,$16.77 ,$19.50 ,$32.04 ,$48.18 ,$55.11 ,"$34,890 ","$40,560 ","$66,640 ","$100,210 ","$114,620 ",0.78,1.45
Food Preparation and Serving Related Occupations (35-0000),"82,390",1.2,$16.25 ,"$33,800 ",0.8,$12.74 ,$13.36 ,$14.36 ,$17.29 ,$22.15 ,"$26,490 ","$27,790 ","$29,860 ","$35,960 ","$46,080 ",95.704,1.08
Chefs and Head Cooks (35-1011),400,19.2,$29.21 ,"$60,750 ",5.3,$20.92 ,$22.15 ,$26.52 ,$34.46 ,$42.80 ,"$43,510 ","$46,080 ","$55,170 ","$71,670 ","$89,030 ",0.463,0.39
First-Line Supervisors of Food Preparation and Serving Workers (35-1012),"6,410",4.4,$20.77 ,"$43,200 ",1.6,$14.50 ,$16.48 ,$19.07 ,$23.42 ,$29.77 ,"$30,160 ","$34,270 ","$39,670 ","$48,720 ","$61,920 ",7.445,0.97
"Cooks, Fast Food (35-2011)","2,600",20.9,$14.38 ,"$29,900 ",1.8,$13.15 ,$13.57 ,$13.86 ,$14.58 ,$16.74 ,"$27,350 ","$28,220 ","$28,830 ","$30,330 ","$34,820 ",3.015,0.7
"Cooks, Institution and Cafeteria (35-2012)","3,650",4.8,$16.57 ,"$34,460 ",0.9,$13.25 ,$14.58 ,$16.46 ,$17.59 ,$20.00 ,"$27,550 ","$30,330 ","$34,240 ","$36,580 ","$41,600 ",4.245,1.46
"Cooks, Restaurant (35-2014)","8,730",3.7,$16.42 ,"$34,160 ",1.1,$13.30 ,$14.41 ,$16.40 ,$17.55 ,$20.22 ,"$27,670 ","$29,980 ","$34,110 ","$36,510 ","$42,060 ",10.138,1.08
"Cooks, Short Order (35-2015)","1,020",29.6,$17.93 ,"$37,290 ",3.5,$14.56 ,$16.09 ,$18.33 ,$19.91 ,$21.00 ,"$30,280 ","$33,460 ","$38,130 ","$41,420 ","$43,680 ",1.19,1.22
Food Preparation Workers (35-2021),"8,330",16.5,$14.83 ,"$30,840 ",2,$12.74 ,$13.20 ,$14.11 ,$16.27 ,$17.47 ,"$26,490 ","$27,460 ","$29,350 ","$33,830 ","$36,340 ",9.678,1.68
Bartenders (35-3011),"3,460",7,$19.04 ,"$39,610 ",2.6,$12.29 ,$12.80 ,$15.08 ,$23.47 ,$29.97 ,"$25,560 ","$26,630 ","$31,370 ","$48,820 ","$62,340 ",4.016,0.83
Fast Food and Counter Workers (35-3023),"23,990",6.5,$14.49 ,"$30,130 ",1.5,$12.63 ,$13.25 ,$13.77 ,$14.66 ,$17.45 ,"$26,270 ","$27,550 ","$28,650 ","$30,490 ","$36,300 ",27.87,1.14
Waiters and Waitresses (35-3031),"13,370",4.5,$18.47 ,"$38,420 ",1.7,$12.39 ,$13.29 ,$14.64 ,$22.33 ,$28.79 ,"$25,770 ","$27,650 ","$30,440 ","$46,450 ","$59,880 ",15.531,1.04
"Food Servers, Nonrestaurant (35-3041)",600,17.3,$15.37 ,"$31,960 ",2.2,$12.96 ,$13.80 ,$14.95 ,$16.89 ,$17.38 ,"$26,950 ","$28,710 ","$31,100 ","$35,130 ","$36,140 ",0.702,0.4
Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011),"3,320",7.1,$14.47 ,"$30,100 ",1.2,$12.57 ,$13.03 ,$13.93 ,$15.20 ,$17.14 ,"$26,140 ","$27,110 ","$28,970 ","$31,610 ","$35,660 ",3.856,1.14
Dishwashers (35-9021),"2,980",6.8,$14.32 ,"$29,790 ",0.9,$12.84 ,$13.27 ,$14.18 ,$14.85 ,$16.38 ,"$26,710 ","$27,600 ","$29,490 ","$30,880 ","$34,080 ",3.462,1.13
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop (35-9031)","3,320",11.2,$14.19 ,"$29,520 ",2.4,$12.66 ,$13.06 ,$13.42 ,$13.93 ,$16.19 ,"$26,330 ","$27,160 ","$27,910 ","$28,980 ","$33,680 ",3.858,1.39
"Food Preparation and Serving Related Workers, All Other (35-9099)",200,38.3,$16.83 ,"$35,010 ",1.6,$14.91 ,$16.50 ,$17.09 ,$17.70 ,$17.71 ,"$31,020 ","$34,320 ","$35,540 ","$36,820 ","$36,830 ",0.229,0.39
Building and Grounds Cleaning and Maintenance Occupations (37-0000),"26,660",1.6,$16.90 ,"$35,150 ",0.7,$13.06 ,$13.96 ,$16.31 ,$18.02 ,$21.94 ,"$27,170 ","$29,030 ","$33,930 ","$37,490 ","$45,630 ",30.97,1.06
First-Line Supervisors of Housekeeping and Janitorial Workers (37-1011),780,8.7,$23.78 ,"$49,450 ",3.3,$16.28 ,$17.88 ,$21.94 ,$27.38 ,$35.81 ,"$33,870 ","$37,180 ","$45,640 ","$56,950 ","$74,490 ",0.91,0.8
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers (37-1012)",450,6,$27.42 ,"$57,030 ",3.4,$18.46 ,$21.94 ,$26.79 ,$31.25 ,$36.70 ,"$38,390 ","$45,620 ","$55,730 ","$65,000 ","$76,330 ",0.518,0.64
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners (37-2011)","14,560",2.1,$16.42 ,"$34,160 ",0.8,$13.04 ,$13.86 ,$16.17 ,$17.72 ,$20.76 ,"$27,120 ","$28,830 ","$33,640 ","$36,860 ","$43,170 ",16.919,1.19
Maids and Housekeeping Cleaners (37-2012),"5,400",6,$15.06 ,"$31,330 ",1.5,$12.52 ,$13.28 ,$14.31 ,$16.11 ,$18.00 ,"$26,050 ","$27,630 ","$29,760 ","$33,500 ","$37,440 ",6.276,1.13
Pest Control Workers (37-2021),360,3.7,$17.61 ,"$36,630 ",1.4,$13.86 ,$16.06 ,$17.47 ,$18.32 ,$21.94 ,"$28,820 ","$33,410 ","$36,340 ","$38,100 ","$45,640 ",0.416,0.67
Landscaping and Groundskeeping Workers (37-3011),"4,890",3.4,$17.88 ,"$37,190 ",0.7,$13.87 ,$15.52 ,$17.18 ,$19.34 ,$22.24 ,"$28,850 ","$32,280 ","$35,740 ","$40,220 ","$46,260 ",5.675,0.93
"Pesticide Handlers, Sprayers, and Applicators, Vegetation (37-3012)",60,21.7,$24.44 ,"$50,840 ",3.8,$18.06 ,$22.00 ,$23.59 ,$29.64 ,$31.01 ,"$37,570 ","$45,760 ","$49,070 ","$61,660 ","$64,510 ",0.071,0.43
Tree Trimmers and Pruners (37-3013),100,43.4,$26.48 ,"$55,080 ",4.6,$15.44 ,$19.21 ,$24.37 ,$31.96 ,$37.48 ,"$32,120 ","$39,950 ","$50,690 ","$66,470 ","$77,950 ",0.12,0.39
"Grounds Maintenance Workers, All Other (37-3019)",40,16.9,$22.37 ,"$46,540 ",6.1,$15.00 ,$15.44 ,$16.77 ,$28.53 ,$38.03 ,"$31,200 ","$32,120 ","$34,880 ","$59,340 ","$79,100 ",0.052,0.59
Personal Care and Service Occupations (39-0000),"14,470",3.4,$17.31 ,"$36,010 ",1,$12.62 ,$13.53 ,$15.79 ,$18.44 ,$23.68 ,"$26,260 ","$28,130 ","$32,850 ","$38,360 ","$49,240 ",16.803,0.82
First-Line Supervisors of Gambling Services Workers (39-1013),130,5.1,$28.84 ,"$59,990 ",0.9,$19.40 ,$24.71 ,$28.02 ,$31.28 ,$36.83 ,"$40,360 ","$51,400 ","$58,280 ","$65,050 ","$76,610 ",0.147,0.89
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services (39-1014)",210,13.6,$18.77 ,"$39,040 ",3,$14.65 ,$15.91 ,$18.27 ,$19.50 ,$25.06 ,"$30,470 ","$33,090 ","$38,000 ","$40,560 ","$52,120 ",0.244,0.41
First-Line Supervisors of Personal Service Workers (39-1022),550,7.3,$24.60 ,"$51,170 ",1.4,$16.17 ,$19.58 ,$23.85 ,$28.55 ,$33.95 ,"$33,630 ","$40,730 ","$49,610 ","$59,380 ","$70,620 ",0.641,0.92
Animal Trainers (39-2011),100,26.3,$18.39 ,"$38,250 ",11,$14.14 ,$14.74 ,$15.15 ,$17.01 ,$23.06 ,"$29,420 ","$30,660 ","$31,510 ","$35,390 ","$47,950 ",0.114,0.88
Animal Caretakers (39-2021),"1,650",5,$16.06 ,"$33,410 ",2,$13.00 ,$13.88 ,$14.77 ,$17.47 ,$20.74 ,"$27,040 ","$28,870 ","$30,720 ","$36,330 ","$43,140 ",1.916,1.07
Gambling Dealers (39-3011),340,3.1,$17.34 ,"$36,070 ",1.6,$12.00 ,$12.00 ,$12.84 ,$14.86 ,$29.80 ,"$24,960 ","$24,960 ","$26,710 ","$30,920 ","$61,970 ",0.392,0.73
"Gambling Service Workers, All Other (39-3019)",40,8.5,$16.71 ,"$34,750 ",1.2,$14.59 ,$14.59 ,$14.98 ,$17.16 ,$23.19 ,"$30,340 ","$30,340 ","$31,170 ","$35,690 ","$48,220 ",0.05,0.52
"Ushers, Lobby Attendants, and Ticket Takers (39-3031)",520,20.1,$13.38 ,"$27,820 ",1.3,$12.00 ,$12.88 ,$13.05 ,$13.23 ,$15.56 ,"$24,960 ","$26,790 ","$27,140 ","$27,510 ","$32,370 ",0.604,0.78
Amusement and Recreation Attendants (39-3091),"1,730",8.1,$14.07 ,"$29,260 ",1,$12.33 ,$12.83 ,$13.53 ,$14.04 ,$16.76 ,"$25,640 ","$26,680 ","$28,140 ","$29,200 ","$34,850 ",2.004,0.83
Funeral Attendants (39-4021),220,16.5,$16.53 ,"$34,370 ",1.8,$14.65 ,$14.80 ,$16.14 ,$17.29 ,$18.17 ,"$30,480 ","$30,780 ","$33,570 ","$35,970 ","$37,800 ",0.253,1.28
"Morticians, Undertakers, and Funeral Arrangers (39-4031)",110,15.7,$22.14 ,"$46,040 ",6.2,$14.17 ,$17.58 ,$22.10 ,$25.25 ,$29.47 ,"$29,470 ","$36,560 ","$45,970 ","$52,510 ","$61,300 ",0.126,0.76
"Hairdressers, Hairstylists, and Cosmetologists (39-5012)","1,380",10.3,$17.81 ,"$37,050 ",5.6,$12.48 ,$12.91 ,$13.54 ,$21.54 ,$30.00 ,"$25,950 ","$26,850 ","$28,150 ","$44,810 ","$62,400 ",1.606,0.84
Manicurists and Pedicurists (39-5092),80,47.8,$21.40 ,"$44,520 ",17.2,$13.79 ,$19.30 ,$20.60 ,$25.98 ,$30.76 ,"$28,690 ","$40,140 ","$42,840 ","$54,040 ","$63,970 ",0.099,0.1
Skincare Specialists (39-5094),270,18.6,$20.95 ,"$43,580 ",6.8,$13.53 ,$14.63 ,$17.31 ,$18.86 ,$38.46 ,"$28,130 ","$30,430 ","$36,000 ","$39,230 ","$79,990 ",0.317,0.7
Baggage Porters and Bellhops (39-6011),100,29.2,$14.46 ,"$30,080 ",6.4,$12.00 ,$12.52 ,$13.11 ,$17.12 ,$17.64 ,"$24,960 ","$26,040 ","$27,270 ","$35,610 ","$36,680 ",0.113,0.56
Concierges (39-6012),60,36.5,$17.10 ,"$35,560 ",4.8,$14.99 ,$15.31 ,$16.35 ,$17.42 ,$20.95 ,"$31,180 ","$31,840 ","$34,000 ","$36,230 ","$43,570 ",0.065,0.23
Tour and Travel Guides (39-7010),460,22.7,$17.51 ,"$36,420 ",3.9,$12.57 ,$13.59 ,$16.85 ,$19.66 ,$24.74 ,"$26,140 ","$28,260 ","$35,060 ","$40,890 ","$51,460 ",0.531,1.67
Childcare Workers (39-9011),"3,460",8.8,$16.33 ,"$33,970 ",1.7,$13.53 ,$14.20 ,$16.46 ,$17.38 ,$18.86 ,"$28,140 ","$29,530 ","$34,240 ","$36,160 ","$39,230 ",4.016,1.19
Exercise Trainers and Group Fitness Instructors (39-9031),"1,260",16.3,$20.95 ,"$43,580 ",3.5,$13.12 ,$15.41 ,$22.00 ,$23.67 ,$26.92 ,"$27,300 ","$32,050 ","$45,760 ","$49,220 ","$56,000 ",1.465,0.74
Recreation Workers (39-9032),870,6,$17.14 ,"$35,650 ",1.4,$12.16 ,$12.16 ,$15.15 ,$20.59 ,$23.99 ,"$25,280 ","$25,280 ","$31,510 ","$42,830 ","$49,910 ",1.006,0.5
Residential Advisors (39-9041),710,15.7,$17.75 ,"$36,920 ",1.3,$14.27 ,$16.11 ,$17.17 ,$18.11 ,$22.09 ,"$29,680 ","$33,510 ","$35,710 ","$37,670 ","$45,960 ",0.827,1.54
"Personal Care and Service Workers, All Other (39-9099)",120,11.7,$17.98 ,"$37,400 ",1.4,$15.38 ,$15.38 ,$15.38 ,$17.59 ,$28.89 ,"$31,980 ","$31,990 ","$31,990 ","$36,590 ","$60,080 ",0.142,0.35
Sales and Related Occupations (41-0000),"70,420",1.5,$20.70 ,"$43,060 ",1.1,$13.07 ,$13.90 ,$16.49 ,$21.98 ,$34.25 ,"$27,190 ","$28,910 ","$34,310 ","$45,710 ","$71,230 ",81.803,0.94
First-Line Supervisors of Retail Sales Workers (41-1011),"7,630",2.7,$24.26 ,"$50,450 ",1.4,$16.38 ,$17.80 ,$21.92 ,$28.05 ,$32.66 ,"$34,060 ","$37,020 ","$45,600 ","$58,340 ","$67,930 ",8.86,1.23
First-Line Supervisors of Non-Retail Sales Workers (41-1012),790,9.3,$39.98 ,"$83,160 ",5,$21.60 ,$27.53 ,$35.76 ,$47.44 ,$61.46 ,"$44,930 ","$57,250 ","$74,370 ","$98,680 ","$127,830 ",0.921,0.65
Cashiers (41-2011),"19,790",4.1,$14.71 ,"$30,590 ",0.6,$12.78 ,$13.31 ,$14.06 ,$15.43 ,$17.20 ,"$26,580 ","$27,680 ","$29,230 ","$32,100 ","$35,770 ",22.984,1.13
Gambling Change Persons and Booth Cashiers (41-2012),540,5,$16.84 ,"$35,020 ",0.8,$12.73 ,$13.77 ,$15.11 ,$16.88 ,$22.53 ,"$26,480 ","$28,630 ","$31,440 ","$35,110 ","$46,850 ",0.623,4.38
Counter and Rental Clerks (41-2021),"2,460",7.9,$19.31 ,"$40,160 ",3.6,$13.31 ,$13.96 ,$17.04 ,$18.96 ,$27.19 ,"$27,680 ","$29,030 ","$35,440 ","$39,430 ","$56,560 ",2.863,1.11
Parts Salespersons (41-2022),"1,720",6.7,$18.41 ,"$38,300 ",2.4,$13.96 ,$14.40 ,$16.51 ,$20.31 ,$26.30 ,"$29,050 ","$29,960 ","$34,340 ","$42,250 ","$54,700 ",2.003,1.17
Retail Salespersons (41-2031),"23,260",2.3,$16.61 ,"$34,550 ",0.7,$13.06 ,$13.78 ,$15.08 ,$17.38 ,$21.20 ,"$27,170 ","$28,670 ","$31,360 ","$36,150 ","$44,090 ",27.018,1.1
Advertising Sales Agents (41-3011),250,15.2,$24.84 ,"$51,680 ",6.4,$13.17 ,$14.25 ,$20.52 ,$30.44 ,$40.54 ,"$27,390 ","$29,630 ","$42,670 ","$63,320 ","$84,310 ",0.288,0.46
Insurance Sales Agents (41-3021),"1,930",11.1,$32.95 ,"$68,530 ",10,$16.77 ,$17.74 ,$22.59 ,$35.81 ,$71.07 ,"$34,870 ","$36,900 ","$46,990 ","$74,480 ","$147,820 ",2.243,0.74
"Securities, Commodities, and Financial Services Sales Agents (41-3031)","1,630",10.7,$36.04 ,"$74,970 ",4.7,$22.88 ,$23.66 ,$28.43 ,$39.47 ,$60.44 ,"$47,580 ","$49,210 ","$59,130 ","$82,100 ","$125,710 ",1.893,0.62
Travel Agents (41-3041),160,18.8,$17.75 ,"$36,930 ",8.2,$12.25 ,$13.86 ,$16.95 ,$20.30 ,$29.55 ,"$25,470 ","$28,830 ","$35,250 ","$42,220 ","$61,470 ",0.186,0.48
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091)","3,370",6.9,$34.19 ,"$71,120 ",4.2,$15.39 ,$21.12 ,$30.91 ,$42.08 ,$55.69 ,"$32,000 ","$43,920 ","$64,290 ","$87,530 ","$115,840 ",3.911,0.51
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products (41-4011)",810,13.8,$39.49 ,"$82,130 ",4.3,$19.23 ,$25.24 ,$37.45 ,$51.51 ,$62.97 ,"$40,000 ","$52,500 ","$77,900 ","$107,140 ","$130,980 ",0.946,0.5
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012)","4,040",5.4,$32.05 ,"$66,660 ",2.8,$16.00 ,$20.21 ,$28.38 ,$37.45 ,$49.32 ,"$33,280 ","$42,030 ","$59,020 ","$77,900 ","$102,580 ",4.689,0.57
Demonstrators and Product Promoters (41-9011),460,14.3,$17.00 ,"$35,360 ",1.7,$14.77 ,$14.90 ,$16.14 ,$18.60 ,$21.00 ,"$30,720 ","$30,990 ","$33,560 ","$38,690 ","$43,680 ",0.531,1.26
Real Estate Brokers (41-9021),290,49.2,$46.03 ,"$95,750 ",20.8,$28.23 ,$29.45 ,$37.47 ,$65.54 ,$68.35 ,"$58,730 ","$61,250 ","$77,940 ","$136,320 ","$142,170 ",0.338,1.05
Real Estate Sales Agents (41-9022),810,21,$40.27 ,"$83,760 ",11.8,$17.35 ,$29.04 ,$38.36 ,$53.94 ,$74.70 ,"$36,080 ","$60,390 ","$79,790 ","$112,190 ","$155,370 ",0.944,0.76
Telemarketers (41-9041),250,2.5,$33.55 ,"$69,780 ",1.1,$22.12 ,$31.75 ,$32.07 ,$38.72 ,$38.72 ,"$46,020 ","$66,040 ","$66,700 ","$80,540 ","$80,540 ",0.293,0.68
"Sales and Related Workers, All Other (41-9099)",210,16.1,$20.48 ,"$42,590 ",3.8,$14.50 ,$16.51 ,$17.06 ,$28.60 ,$29.62 ,"$30,160 ","$34,330 ","$35,490 ","$59,480 ","$61,620 ",0.245,0.38
Office and Administrative Support Occupations (43-0000),"116,490",1.1,$21.68 ,"$45,100 ",0.3,$14.31 ,$17.00 ,$20.00 ,$24.48 ,$30.82 ,"$29,750 ","$35,350 ","$41,600 ","$50,920 ","$64,100 ",135.318,1.15
First-Line Supervisors of Office and Administrative Support Workers (43-1011),"8,120",2.2,$30.40 ,"$63,230 ",1,$19.00 ,$22.98 ,$29.24 ,$36.22 ,$42.13 ,"$39,520 ","$47,790 ","$60,820 ","$75,350 ","$87,620 ",9.427,0.97
"Switchboard Operators, Including Answering Service (43-2011)",220,8.5,$18.90 ,"$39,310 ",2,$14.60 ,$15.60 ,$17.99 ,$22.35 ,$23.67 ,"$30,360 ","$32,450 ","$37,430 ","$46,490 ","$49,230 ",0.255,1.1
Bill and Account Collectors (43-3011),430,14.4,$22.80 ,"$47,420 ",2.4,$16.86 ,$19.45 ,$22.24 ,$27.37 ,$28.76 ,"$35,070 ","$40,460 ","$46,270 ","$56,920 ","$59,810 ",0.504,0.47
Billing and Posting Clerks (43-3021),"2,040",6.3,$21.24 ,"$44,180 ",1.3,$15.65 ,$17.91 ,$20.75 ,$23.50 ,$27.73 ,"$32,550 ","$37,260 ","$43,150 ","$48,890 ","$57,680 ",2.372,0.88
"Bookkeeping, Accounting, and Auditing Clerks (43-3031)","8,720",5.4,$23.22 ,"$48,300 ",1.7,$15.92 ,$18.44 ,$22.41 ,$27.00 ,$31.12 ,"$33,110 ","$38,360 ","$46,610 ","$56,160 ","$64,720 ",10.126,1.07
Gambling Cage Workers (43-3041),160,4.5,$17.77 ,"$36,960 ",0.8,$13.85 ,$15.32 ,$17.45 ,$20.17 ,$21.83 ,"$28,810 ","$31,860 ","$36,290 ","$41,950 ","$45,410 ",0.187,2.13
Payroll and Timekeeping Clerks (43-3051),890,11.3,$25.76 ,"$53,570 ",2.9,$17.67 ,$20.52 ,$26.05 ,$29.55 ,$35.21 ,"$36,750 ","$42,680 ","$54,170 ","$61,460 ","$73,230 ",1.031,1.01
Procurement Clerks (43-3061),430,7.2,$24.07 ,"$50,070 ",1.6,$17.27 ,$20.37 ,$23.56 ,$26.95 ,$31.65 ,"$35,920 ","$42,370 ","$49,000 ","$56,060 ","$65,840 ",0.504,1.3
Tellers (43-3071),"2,480",8.2,$18.56 ,"$38,600 ",1.7,$14.30 ,$16.78 ,$18.30 ,$21.15 ,$22.12 ,"$29,740 ","$34,910 ","$38,060 ","$43,990 ","$46,010 ",2.882,1.31
Brokerage Clerks (43-4011),(8) -,(8) -,$27.63 ,"$57,470 ",1.1,$23.85 ,$24.46 ,$28.41 ,$28.41 ,$34.83 ,"$49,600 ","$50,880 ","$59,100 ","$59,100 ","$72,440 ",(8) -,(8) -
"Court, Municipal, and License Clerks (43-4031)","1,120",2,$22.36 ,"$46,520 ",0.7,$17.69 ,$19.56 ,$21.64 ,$24.22 ,$27.65 ,"$36,800 ","$40,680 ","$45,010 ","$50,380 ","$57,510 ",1.3,1.18
Customer Service Representatives (43-4051),"18,520",2.5,$19.83 ,"$41,250 ",0.7,$14.27 ,$16.52 ,$18.30 ,$22.00 ,$27.18 ,"$29,680 ","$34,370 ","$38,060 ","$45,760 ","$56,520 ",21.516,1.22
"Eligibility Interviewers, Government Programs (43-4061)",910,1.6,$25.50 ,"$53,040 ",0.3,$19.08 ,$21.43 ,$24.50 ,$29.85 ,$33.40 ,"$39,680 ","$44,570 ","$50,960 ","$62,090 ","$69,470 ",1.052,1.04
File Clerks (43-4071),420,8.6,$18.80 ,"$39,110 ",2.7,$12.36 ,$15.80 ,$17.72 ,$21.23 ,$24.25 ,"$25,700 ","$32,870 ","$36,860 ","$44,150 ","$50,450 ",0.484,0.95
"Hotel, Motel, and Resort Desk Clerks (43-4081)","2,830",5.1,$14.43 ,"$30,010 ",1.4,$12.85 ,$13.17 ,$13.83 ,$14.97 ,$17.02 ,"$26,720 ","$27,390 ","$28,770 ","$31,150 ","$35,390 ",3.283,1.94
"Library Assistants, Clerical (43-4121)",100,11.7,$16.57 ,"$34,460 ",1.5,$14.51 ,$15.92 ,$15.95 ,$17.70 ,$17.85 ,"$30,170 ","$33,120 ","$33,180 ","$36,810 ","$37,130 ",0.114,0.22
Loan Interviewers and Clerks (43-4131),750,8.2,$21.28 ,"$44,260 ",2.1,$14.32 ,$17.27 ,$20.11 ,$23.48 ,$30.22 ,"$29,790 ","$35,930 ","$41,830 ","$48,840 ","$62,860 ",0.872,0.78
New Accounts Clerks (43-4141),110,35.6,$22.24 ,"$46,260 ",6,$15.32 ,$17.93 ,$21.87 ,$26.87 ,$28.80 ,"$31,870 ","$37,300 ","$45,500 ","$55,880 ","$59,900 ",0.132,0.53
Order Clerks (43-4151),290,6.8,$19.83 ,"$41,250 ",1.5,$17.96 ,$17.96 ,$17.96 ,$21.15 ,$24.96 ,"$37,350 ","$37,350 ","$37,350 ","$43,990 ","$51,920 ",0.34,0.63
"Human Resources Assistants, Except Payroll and Timekeeping (43-4161)",640,4.5,$22.70 ,"$47,220 ",0.6,$18.50 ,$19.41 ,$22.18 ,$25.00 ,$27.86 ,"$38,480 ","$40,370 ","$46,140 ","$52,000 ","$57,950 ",0.739,1.23
Receptionists and Information Clerks (43-4171),"5,370",5.6,$16.79 ,"$34,920 ",1.3,$12.67 ,$14.00 ,$16.50 ,$18.14 ,$21.67 ,"$26,350 ","$29,120 ","$34,320 ","$37,730 ","$45,080 ",6.238,1
Reservation and Transportation Ticket Agents and Travel Clerks (43-4181),540,4.7,$26.14 ,"$54,360 ",0.9,$17.02 ,$18.92 ,$24.32 ,$34.63 ,$34.63 ,"$35,400 ","$39,360 ","$50,590 ","$72,030 ","$72,030 ",0.628,0.76
"Information and Record Clerks, All Other (43-4199)","1,030",2.4,$24.15 ,"$50,230 ",0.2,$15.35 ,$19.02 ,$23.33 ,$27.15 ,$31.77 ,"$31,920 ","$39,560 ","$48,530 ","$56,470 ","$66,080 ",1.195,1.28
